route,mae,count
2 -> 1,6644.176837699493,1308
4 -> 1,6308.481701436467,1528
1 -> 2,6236.7520495615,1281
1 -> 4,6101.10307313784,1722
4 -> 2,6050.761522534003,1243
2 -> 4,5801.15351092391,1236
3 -> 6,5391.178613644226,3094
5 -> 2,5386.440508607377,1290
6 -> 1,5358.083260885099,2542
6 -> 3,5273.3284481980545,2943
1 -> 6,5246.87429973923,2581
1 -> 5,5231.476662660257,1950
2 -> 6,4996.046380754182,1801
6 -> 2,4962.60298335338,2059
5 -> 1,4896.771348018507,1914
5 -> 4,4890.340586786685,1587
6 -> 4,4877.714331872384,2090
4 -> 5,4764.864848215987,1640
2 -> 5,4754.251733144124,1344
5 -> 6,4667.054221816158,2204
3 -> 5,4649.416873680541,2398
6 -> 5,4593.358027247061,2525
4 -> 6,4556.668070225075,2033
3 -> 2,4482.92233925212,2093
5 -> 3,4335.568560802686,2092
3 -> 4,4180.970157569953,1931
4 -> 3,4026.1297565806994,1760
2 -> 3,3921.851906030864,1943
3 -> 1,3840.1984003920543,2733
1 -> 3,3839.936285911957,2768
