route,mae,count
2 -> 1,3682.438739741614,1308
4 -> 1,3466.0447322186374,1528
3 -> 6,3269.5902460217862,3094
1 -> 2,3232.8080854572236,1281
4 -> 2,3125.478926716173,1243
2 -> 4,3063.8343037725654,1236
6 -> 3,2981.125718817029,2943
2 -> 6,2950.2637166092622,1801
1 -> 5,2904.955615609976,1950
1 -> 4,2721.0788969777605,1722
5 -> 4,2651.6125197527763,1587
6 -> 1,2601.9193080658993,2542
1 -> 6,2510.382652640389,2581
5 -> 1,2471.2777552430284,1914
4 -> 5,2470.9351595250573,1640
5 -> 3,2448.4076464563664,2092
5 -> 6,2409.0104177374587,2204
3 -> 5,2387.2869813997017,2398
6 -> 2,2283.8482178090094,2059
2 -> 5,2277.8899343581425,1344
5 -> 2,2266.208452943314,1290
6 -> 5,2244.7561041924505,2525
2 -> 3,2197.2041587338763,1943
1 -> 3,2128.111876559395,2768
4 -> 6,2077.1115630187837,2033
6 -> 4,1996.9849631569602,2090
3 -> 1,1961.870102001292,2733
3 -> 4,1884.4716440336128,1931
3 -> 2,1847.5766859350738,2093
4 -> 3,1718.4675850608132,1760
