route,mae,count
2 -> 1,4983.281220042378,1308
5 -> 2,4665.208356801114,1290
5 -> 4,4528.642213990873,1587
2 -> 4,4472.121129798272,1236
2 -> 5,4339.303823652722,1344
5 -> 6,4325.8950236298,2204
4 -> 2,4304.319655009459,1243
4 -> 1,4243.622079979063,1528
1 -> 5,4191.010547375801,1950
6 -> 1,4184.918945600628,2542
5 -> 1,4166.083312669393,1914
4 -> 5,4155.144545243426,1640
2 -> 6,4118.43467096459,1801
6 -> 5,4074.0211915996288,2525
1 -> 4,3945.6056800691645,1722
1 -> 2,3922.151253026505,1281
6 -> 2,3712.675854172042,2059
3 -> 6,3701.912493182369,3094
1 -> 6,3584.5922325633837,2581
6 -> 3,3535.193296411108,2943
6 -> 4,3464.795247551585,2090
3 -> 4,3270.3036134582553,1931
4 -> 3,3235.692356040261,1760
3 -> 2,3211.6984492346137,2093
2 -> 3,3187.55994085841,1943
4 -> 6,3099.215473195689,2033
3 -> 5,3055.117959729625,2398
5 -> 3,2950.4133992824227,2092
3 -> 1,2858.1982993591064,2733
1 -> 3,2848.779091013649,2768
